PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40362536,Active Substances from the Micro-Immunotherapy Medicine 2LC1,2025-05-14,Jacques C; Marchesi I; Fiorentino FP; Marchand F; Chatelais M; Floris I,Kitos Biotech s.r.l.s.; Preclinical Research Department; ProfileHIT,
40359068,Leveraging a Strategic Public-Private Partnership to Launch an Airport-Based Pathogen Monitoring Program to Detect Emerging Health Threats.,2025-05-13,Friedman CR; Morfino RC; Ernst ET,,
40354951,Unlocking the Radiosensitizing Potential of MYC inhibition in Neuroendocrine Malignancies.,,Shivakumar D,Kamineni Academy of Medical Science and Research Centre,guo.qianyu@mayo.edu.
40354013,Comparative Efficacy of Ciltacabtagene Autoleucel Versus Standard-of-Care Treatments for Patients with Previously Treated Relapsed or Refractory Multiple Myeloma: A Matching-Adjusted Indirect Comparison.,,Diels J; van Sanden S; Mendes J; Burnett H; Cichewicz A; Lee S; Hernando T; Schecter JM; Lendvai N; Patel N; Rocchi S; Leleu X,Legend Biotech USA Inc.; Azienda Opedaliero-Universitaria Policlinico Sant'orsola Malpighi di Bologna; CHU Poitiers; The Janssen Pharmaceutical Companies of Johnson & Johnson; Evidera Inc.,jmendes6@ITS.JNJ.com.
40352683,Cross-sectional study of plasma phosphorylated tau 217 in persons without dementia.,,,,
40350206,Combinatorial treatment with upadacitinib abrogates systemic toxicity of a tumor-targeted IL-2 fusion protein.,2025-05-12,Rotta G; Prodi E; Bocci M; Gilardoni E; Comacchio C; Puca E; Neri D; Dakhel Plaza S,Philochem AG,sheila.dakhel@philochem.ch.
40348498,Role of Intestinal Microbiome in Potentiating Inflammation and Predicting Outcomes in Alcohol-Associated Cirrhosis.,2025-05-11,,,beschnabl@ucsd.edu.
40347097,Efficacy of Axicabtagene Ciloleucel Compared to Historical Treatments for Relapsed/Refractory Diffuse Large B-Cell Lymphoma of Asian Descent: A Matching Adjusted Indirect Comparison of ZUMA-1 vs REAL-TREND.,2025-05-10,Ball G; Ray MD; Li T; Limbrick-Oldfield EH; Popoff E; Kanters S,RainCity Analytics; Kite,
40344028,"Harmonizing CT scanner acquisition variability in an anthropomorphic phantom: A comparative study of image-level and feature-level harmonization using GAN, ComBat, and their combination.",2025-05-10,,,
40342426,Performance of PREVENT equations for cardiovascular risk prediction in young patients with myocardial infarction: From the MGB YOUNG-MI registry.,,,,
40341383,Zanidatamab monotherapy or combined with chemotherapy in HER2-expressing gastroesophageal adenocarcinoma: a phase 1 trial.,2025-05-09,Chaves J; Yang L; Oza R; Elimova E,Princess Margaret Cancer Centre; Jazz Pharmaceuticals; Northwest Medical Specialties,fmeric@mdanderson.org.
40338514,Do PGCCs in Solid Tumors Appear Due to Treatment-related Stress or Clonal Expansion of CSCs that Survive Oncotherapy?,,Bhartiya D; Sharma N; Tripathi A; Tripathi A,Epigeneres Biotech Pvt Ltd,deepa.bhartiya@epigeneres.com.
40335998,The legacy of William M. Pardridge (1947-2024) on the science and fields concerned with the physiology of the blood-brain barrier and the transport of drugs to the brain.,2025-05-08,,,boado@ucla.edu.
40335499,Enhancing outcomes in Langendorff-perfused rodent hearts through perfusion parameter optimization.,2025-05-08,,,sntessier@mgh.harvard.edu.
40334661,Genetic biomarker study of sunvozertinib for clinical prognosis and prediction in NSCLC with EGFR exon 20 insertion mutation.,,Doucet L; Greillier L; Mazieres J; Ghiringhelli F; Felip E; Bosch-Barrera J; John T; Zhu X; Zheng L,Peter MacCallum Cancer Centre; Dizal Pharmaceutical; Institut Catala d'Oncologia de Girona (ICO Girona); CHU Hôpital de la Timone; Vall d'Hebron Institut d'Oncologia; Centre Georges François Leclerc; Institut de Cancérologie de l'Ouest (ICO) - René Gauducheau; CHU de Toulouse - Hôpital Larrey,mengzhaowang@sina.com.
40334315,Durvalumab with or without tremelimumab in combination with chemotherapy in first-line metastatic non-small-cell lung cancer: outcomes by tumor mutational burden in POSEIDON.,,Oliner KS; L'Hernault A; Ratcliffe M; Madison H; Lai Z; Stewart R; Mann H; Lowery C,AstraZeneca,Solange.Peters@chuv.ch.
40333756,Cyclic peptide inhibitors function as molecular glues to stabilize Gq/11 heterotrimers.,2025-05-07,Andres F; Bacchin A; Hennig M,LeadXpro AG,
40333322,Development of In Vitro Potency Methods to Replace In Vivo Tests for Enterovirus 71 Inactivated Vaccine (Human Diploid Cell-Based/Vero Cell-Based).,,Yu D; Li J; Li X; Li J,Sinovac Biotech,
40327311,Lactiplantibacillus plantarum GMNL-661 Ameliorates Clostridioides difficile Infection and Reconfigures Intestinal Microbiota in a Murine Model.,,Chen YL; Lai CY; Tsai WH,Research and Development Department; Inong Agriculture Company Limited; EirGenix Inc./Research & Development/Cell Line Engineering,winston3415@gmail.com.
40324450,"Long-term effect of anifrolumab on patient-reported outcomes in systemic lupus erythematosus (TULIP-LTE): a randomised, placebo-controlled, phase 3 long-term extension trial.",,Lee KW; Seo C; Abreu G; Tummala R; Al-Mossawi H; Duncan EA; Lindholm C,Global Market Access and Pricing; BioPharmaceuticals Medical Evidence; BioPharmaceuticals R&D,catharina.lindholm@astrazeneca.com.
40319221,Obesity and inflammation in chronic and acute heart failure.,,Cotter G; Davison B,Université Paris Cité,gadcotter@momentum-research.com.
40319178,Deacetylation of ANXA2 by SIRT2 desensitizes hepatocellular carcinoma cells to donafenib via promoting protective autophagy.,,,,haoyingxue@hotmail.com.
40316524,Construction of multi-targeted CRISPR libraries in tomato to overcome functional redundancy at genome-scale level.,2025-05-03,,,zhangyuqin@ucas.ac.cn.
40315846,Dissecting the immune landscape in pediatric high-grade glioma reveals cell state changes under therapeutic pressure.,,,,mariella.filbin@childrens.harvard.edu.
40313979,"Discovery, design, and engineering of enzymes based on molecular retrobiosynthesis.",,Chen A; Peng X; Shen T; Zheng L; Wu D; Wang S,Shanghai Zelixir Biotech Company Ltd. Shanghai China.,
40312358,Ucenprubart is an agonistic antibody to CD200R with the potential to treat inflammatory skin disease: preclinical development and a phase 1 clinical study.,2025-05-02,Witcher DR; Lee M; Bauer S; Malherbe L; Poorbaugh J; Preuss C; Datta G; Wang Z; Knorr J; Manner D,Lilly Research Laboratories; Progressive Clinical Research,anja.koster.phd@gmail.com.
40305219,Oncobiomics: Leveraging Microbiome Translational Research in Immuno-Oncology for Clinical-Practice Changes.,2025-04-30,Alves Costa Silva C; Almonte AA; Zitvogel L,Gustave Roussy Cancer Campus (GRCC),
40303903,AlphaMissenseR: an integrated framework for investigating missense mutations in human protein-coding genes.,,,,
40302717,"Measles Population Immunity in Hunan, China: A Serological Assessment.",,,,
40301896,Reverse genotyping: unveiling Alu element insertion as a new cause of Kabuki syndrome using DNA methylation signature.,2025-04-30,Rastin C; Pujol P; Kerkhof J; Sadikovic B,Verspeeten Clinical Genome Centre; French Society for Predictive and Personalized Medicine (SFMPP),d-genevieve@chu-montpellier.fr.
40301866,Comprehensive pan-cancer analysis identified SLC16A3 as a potential prognostic and diagnostic biomarker.,,,,294124350@qq.com.
40301663,Development of an Endothelial Activation and Stress Index (EASIX)-based predictive model for cytokine release syndrome and neurotoxicity after B-cell maturation antigen directed chimeric antigen receptor T-cell therapy for relapsed/refractory multiple myeloma.,,Goel U,Department of Internal Medicine,goelu@ccf.org.
40301651,Spermatogenesis advancement in pre-pubertal meagre Argyrosomus regius treated with recombinant gonadotropins.,2025-04-30,Giménez I,Rara Avis Biotec,aldo.corriero@uniba.it.
40301557,D3S-001 in advanced solid tumors with KRAS,,Chen C; Wang J; Shen Y; Fan Z; Chen Q; Wang H; Zhang J; Chen ZJ,D3 Bio Inc.,CBC1971@yuhs.ac.
40299058,Systemic Janus kinase inhibitors in the management of granuloma annulare.,2025-04-29,,,scott.stratman@mountsinai.org.
40290585,Quantifying the Unknowns of Plaque Morphology: The Role of Topological Uncertainty in Coronary Artery Disease.,,Singh Y; Erickson B; Lopez-Jimenez F,Department of Cardiovascular Medicine; Department of Radiology,
40289056,"A Mixed-Methods Approach to Assessing Barriers and Facilitators to Cancer Genetics Care in Black and Latino/a Individuals Impacted by Pancreatic Cancer: The Racial/ethnic Equity in GENetic Education, Risk Assessment, and TEsting (REGENERATE) Study.",,Coffin TB; Rosenzweig A; Kenner B; Nelson SH,Pancreatic Cancer Action Network; Kenner Family Research Fund,njrodriguez@bwh.harvard.edu.
40288691,L19-IL2 reverts radiation-induced lymphopenia in a mouse model of lung cancer.,,van Hoof SJ; Staut N,SmART Scientific Solutions BV,ludwig.dubois@maastrichtuniversity.nl.
40288083,Impact of Apolipoprotein A-I Infusions on Cardiovascular Events Post-MI by Neutrophil-Lymphocyte Ratio and LDL-Cholesterol Levels.,,Duffy D; Anschuetz G; Kingwell BA; Harrington RA; ,CSL Behring; ; Weill Cornell Medicine; CSL Limited,charlesmichaelgibson@gmail.com.
40286110,Kyoh,2025-04-26,Mena-García A; Morán-Valero MI; Cristos A; Díez-Municio M,Pharmactive Biotech Products S.L.U.,
40284993,Inactivated Viral Vaccine BBV87 Protects Against Chikungunya Virus Challenge in a Non-Human Primate Model.,2025-04-26,Kempster SL; Ferguson D; Ham C; Hall J; Jenkins A; Giles E; Kandaswamy S; Berry N; Almond N,Bharat Biotech International Ltd.; Science and Research,
40284736,Microcycle Conidia Production in an Entomopathogenic Fungus ,,Zambare R; Tupe SG; Deshpande MV,R&D (Department of Scientific and Industrial Research recognized),
40282751,"Global Status, Recent Trends, and Knowledge Mapping of Olive Bioactivity Research Through Bibliometric Analysis (2000-2024).",,Garrido-Romero M; Díez-Municio M; Moreno FJ,Pharmactive Biotech Products SLU; Instituto de Investigación en Ciencias de la Alimentación,
40281743,Decellularization of Human Digits: A Step Towards Off-the-Shelf Composite Allograft Transplantation.,,Charlès L; Lellouch AG; Cetrulo CL,Shriners Children's Boston,
40281056,A promptable CT foundation model for solid tumor evaluation.,,Machado L; Alberge L; Philippe H; Ferreres E; Khlaut J; Dupuis J; Le Floch K; Habip Gatenyo D; Roux P; Dancette C; Boeken T; Tordjman D; Manceron P; Hérent P,Raidium; Centre d'Imagerie du Nord; Department of Radiology; Department of Vascular and Oncological Interventional Radiology,maxime.ronot@aphp.fr.
40278651,"Plant-Derived UDP-Glycosyltransferases for Glycosylation-Mediated Detoxification of Deoxynivalenol: Enzyme Discovery, Characterization, and In Vivo Resistance Assessment.",2025-04-25,Dato L; Jæger D; Hansen J,River Stone Biotech ApS,
40278106,Use of a 3D Model with Reconstructed Human Epidermis Infected with Fungi and Covered with a Bovine Nail to Simulate Onychomycosis and to Evaluate the Effects of Antifungal Agents.,,Del Prete S; Foucher C; Barberis M; Carriero F; Bart A,Urgo Research Innovation & Development; Service Biotech; Vitroscreen,
40277543,Translation of COVID-19 Serology Test on Foil-Based Lateral Flow Chips: A Journey from Injection Molding to Scalable Roll-to-Roll Nanoimprint Lithography.,2025-04-25,O'Sullivan C; Conde A; Lohse M; Okulova N; Brommert J; Benauer R; Katzmayr I; Ladenhauf N; Weigel W; Skolimowski M; Sonnleitner M,Scienion GmbH; GENSPEED Biotech GmbH; Micro Resist Technology GmbH; Micronit B.V.; Temicon GmbH; Inmold A/S; Bionic Surface Technologies GmbH,
40275492,Preferences on the Use of Prokinetic Agents in Adult Intensive Care Unit Patients-An International Survey.,2025-04-25,Alhazzani W; Wall O; McGrath C,Department of Critical Care; Department of Anaesthesiology and Intensive Care; Health Research Centre,
40274791,IDH status dictates oHSV mediated metabolic reprogramming affecting anti-tumor immunity.,2025-04-25,,,usahu@augusta.edu.
40267018,Development of Recombinant Follicle-Stimulating Hormone for the Superovulation of Cattle: A Review.,,,,
40266427,TM9SF4 is a potential prognostic biomarker in hepatocellular carcinoma.,,,,13918911864@163.com.
40266243,"Four-Color Pseudovirus-Based Neutralization Assay: A Rapid Method for Evaluating Neutralizing Antibodies Against Quadrivalent Hand, Foot, and Mouth Disease Vaccine.",,Xu L; Wang G,Vazyme Biotech Co.,
40266229,The Sm14+GLA-SE Recombinant Vaccine Against ,,Ramos CR; Tendeng JN; Ndiaye S; Marroquin-Quelopana M; Reed S,Fenix Biotec Treinamento SS LTDA; Hopital Régional de Saint Louis; HDT BioCorp; Région Médicale de Saint Louis,
40266224,An mRNA Vaccine for Herpes Zoster and Its Efficacy Evaluation in Naïve/Primed Murine Models.,,Jiang L; Zhou W; Liu F; Li W; Xu Y; Liang Z; Cao M; Hou L; Liu P; Wu F; Shen A; Zhang Z; Zhang X; Zhao H; Pan X; Wu T; Jia W; Zhang Y,Sinopharm Group China National Biotech Group (CNBG) Co.; CNBG-Virogin Biotech (Shanghai) Co.,
40266111,Sustained Immune Persistence Five Years Post-Completion of Four-Dose sIPV Vaccination.,,Yurong L; Jianfeng W; Xinge L; Peng J,Sinovac Life Sciences Co.; Sinovac Biotech Co.,
40265875,Molecular Characterization and Assessment of Insect Resistance of Transgenic Maize ZDRF-8.,,Ying J,Hangzhou LeadGene Biotech Co.,
40263603,Rapid modulation of gut microbiota composition by hypothalamic circuits in mice.,,Moreno-Indias I; Schwaninger M,German Research Centre for Cardiovascular Research (DZHK); Department of Endocrinology and Nutrition,patrice.cani@uclouvain.be.
40261977,Nanopores with an Engineered Selective Entropic Gate Detect Proteins at Nanomolar Concentration in Complex Biological Sample.,2025-05-07,,,
40256341,"A Non-randomized, Open-label, Multicenter Study to Evaluate the Safety and Tolerability of 10% Aminolevulinic Acid Gel in the Expanded Field-directed Treatment of Actinic Keratosis on the Face and Scalp with Red Light Photodynamic Therapy.",,Cohen JL; Tu JH; Zeitouni NC; Ibrahim SF; Zogel C; Schmitz B; Zeuner MT,Dr. Ibrahim is with Rochester Dermatologic Surgery in Victor; Dr. Cohen is with AboutSkin Research in Greenwood Village; Dr. Tu is with Skin Search of Rochester in Rochester; Drs. Zogel; Dr. Zeitouni is with Medical Dermatology Specialists Phoenix in Phoenix,
40254611,A SpA+LukAB vaccine targeting Staphylococcus aureus evasion factors restricts infection in two minipig infection models.,,Poolman JT; Welten SPM; Fernandez J; Konstantinov SR; Morrow B; Burghout P; Grijpstra J; van Beers MMC; Anish C; Beurret M; Geurtsen J; Rood PML; Koeberling O; van den Dobbelsteen GPJM,Bacterial Vaccines Discovery and Early Development; Bacterial Vaccines,gvanden@its.jnj.com.
40252663,Pharmacotherapy and non-invasive neuromodulation for neuropathic pain: a systematic review and meta-analysis.,2025-04-19,Moisset X; Belton J; Calvo M; Talkington F; ,; Reading; Fraser; Université Clermont Auvergne; Faculty of Biological Sciences,n.soliman16@imperial.ac.uk.
40251428,Report of a missense TJP2 variant associated to PFIC4 with a pronounced phenotypic variability: Focus on the structural effects on the protein level.,,,,Boudour.khabou.bio@gmail.com.
40250790,Multiplex characterization of circulating tumor cells from ductal carcinoma in situ patients suggests early tumor dissemination.,2025-05-12,,,mwicha@med.umich.edu.
40250457,Clinical validation of droplet digital PCR assays in detecting BRAF,2025-05-04,Garrett J; Santinami M; Adnaik SB; Tan M; Dajee M,Novartis Pharmaceuticals Corporation; Novartis Pharmaceuticals; Fondazione IRCCS-Istituto Nazionale dei Tumori (INT); Novartis Healthcare,david.polsky@nyulangone.org.
40250419,Fate and state transitions during human blood vessel organoid development.,,Nikolova MT; He Z; Seimiya M; Cao W; Okamoto R; Treutlein B,Department of Biosystems Science and Engineering,josef.penninger@ubc.ca.
40248960,Recommendations on biomarker assay validation (BAV) in tissues by GCC.,2025-04-23,Yuan M; Liu A; Xu B; Sales K; Karnik S; Voelker T; Salha D; Zimmer J; O'Dell M; Gorityala S; Hays A; Lester T; Reynolds G; Tary-Lehmann M; Yu M; Roberge M; Malone K; Patel V; Love I; Lin J; Diaz M; Xu T; Garofolo W; McGregor J; Leskovar A; Kernstock R; Pellerin M; Brown M; Spytko A; Lowes S; Ambrose D; Dufield D; Kane C; Veeramachaneni R; Luna M; Warrino D; Dwivedi V; Xu A; Hyer E; Iles T; Majumdar R; Sikkema D; Thomas E; Carlsson A; Dakappagari N; Riccitelli N; Marco CD; Bouhajib M; Iordachescu A; Sanghvi M; Barton H; Lavelle A; Dompkowski E; Rundlett S; Matys K; Sangster T; Turksma A; Gu W; Liu J; Hoffpauir B; Rocha A; Pirro J; Bergeron J; O'Brien K; Fang X; Dong K; Yamashita J,Altasciences; BioAgilytix; Tri-Apex Inc; Alturas Analytics; Labcorp; Syneos Health; WuXi AppTec; Charles River Laboratories; Frontage Laboratories; B2S Life Sciences; Resolian; Precision for Medicine; KCAS Bio; Mercodia AB; Shanghai Xihua Scientific Co; GCC; IQVIA Laboratories; Agilex Biolabs; PPD; Eurofins Viracor BioPharma Services; Navigate BioPharma Services; Pharma Medica Research; Pharma Serv International; Pharmaron; Cellular Technology Ltd; Cerba Research Canada Formally CIRION BioPharma Research Inc; Accurant Biotech; Sword Bio; Sanquin Diagnostic Services; Aliri Bioanalysis; Keystone Bioanalytical; United-Power Pharma Tech Co; CMIC; Smithers; ICON,
40248697,PI3K/Akt in IPF: untangling fibrosis and charting therapies.,2025-04-18,,,
40248457,Primary Results from IMscin002: A Study to Evaluate Patient Preferences and Perceptions of Health Care Professionals for Atezolizumab Subcutaneous Versus Intravenous for the Treatment of NSCLC.,,Szczesna A; Castro Sanchez AY; Bustillos A; Liu X; Young F; Tosti N; Monteiro MF,F. Hoffmann-La Roche Ltd.; Genentech; Mazowieckie Centrum Leczenia Chorób Płuc i Gruźlicy,
40247049,Investigation of an oncolytic herpes simplex virus as a potential therapeutic agent for gastroenteropancreatic neuroendocrine neoplasms.,2025-04-17,,,elizabeth.beierle@childrensal.org.
40246580,Single-cell RNA sequencing of human double-negative T cells reveals a favorable cellular signature for cancer therapy.,2025-04-17,,,li.zhang@uhnresearch.ca.
40246579,CD22-targeted chimeric antigen receptor-modified T cells for children and adults with relapse of B-cell acute lymphoblastic leukemia after CD19-directed immunotherapy.,2025-04-17,Engels B,Miltenyi Biotec BV & Co KG,myersrm@chop.edu
40244176,Comparative Study on the Effects of Selenium-Enriched Yeasts with Different Selenomethionine Contents on Gut Microbiota and Metabolites.,2025-04-17,,,
40242757,Nasal delivery of killed ,2025-04-17,Hong HA; Ho YL; Nguyen LH; Hynes D; Love W; Cutting SM,Huro Biotech Joint Stock Company; SporeGen Ltd.; Destiny Pharma Plc.,
40240612,An ultrasensitive method for detection of cell-free RNA.,2025-05-14,,,arasha@stanford.edu.
40240556,Quantitative MRI detects delayed perfusion and impact of bronchial artery dilatation on pulmonary circulation in patients with cystic fibrosis.,,Graeber SY; Stahl M; Mall MA,Department of Pediatric Respiratory Medicine,mark.wielpuetz@med.uni-greifswald.de.
40235808,Choroidal thinning can be assessed through facial video analysis.,,,,
40235082,The CentiMarker project: Standardizing quantitative Alzheimer's disease fluid biomarkers for biologic interpretation.,2025-04-16,Jack CR; ,; Department of Radiology,
40232594,Management of Challenging Psoriasis Clinical Scenarios.,,Stein Gold L; Alexis A; Song EJ; Watch NM; Young M,Weill Cornell Medicine; Mindful Dermatology; Frontier Dermatology; Henry Ford Health,lstein1@hfhs.org.
40232394,"[Postextubation dysphagia in intensive care unit : Epidemiology, clinical course, and management].",2025-04-30,Bertschi D; Waskowski J; Venetz P; Pfortmueller CA; Schefold JC,Universitätsklinik für Intensivmedizin,joerg.schefold@insel.ch.
40231830,Insertion sequence-mediated phage resistance contributes to attenuated colonization of cytolytic ,,,,
40230889,Generalizability of VICTORION-1 PREVENT enrollment criteria to the United States population.,,Deck C; Lesogor A,Novartis Pharma AG,
40229265,Engineering biology applications for environmental solutions: potential and challenges.,2025-04-14,Partridge N; ; Krasnogor N,; GitLife Biotech Ltd,d.lea-smith@uea.ac.uk.
40229235,Semirational Design and Immobilization Synergistically Enhance Barnase Activity and Stability.,2025-04-23,,,
40221417,Structure-guided disulfide engineering restricts antibody conformation to elicit TNFR agonism.,2025-04-12,Orr CM,Diamond Light Source,Ivo.Tews@soton.ac.uk.
40220748,GLP-1 agonists to slow down Parkinson's progression? The quest continues.,2025-04-12,,,bas.bloem@radboudumc.nl.
40220121,Attenuation of Cellular Senescence and Improvement of Osteogenic Differentiation Capacity of Human Liver Stem Cells Using Specific Senomorphic and Senolytic Agents.,,Grassi DJ; Tetta C,Unicyte AG; Aelis Farma,probbins@umn.edu.
